GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Huffman-coding,pl.edu.pw.ee.decompression.converters,BinaryToCharsTextConverter.DecodedCharacter,3,21,0,0,1,7,1,3,1,3
Huffman-coding,pl.edu.pw.ee.decompression.converters,BytesToBinaryTextConverter,0,80,0,8,0,19,0,8,0,4
Huffman-coding,pl.edu.pw.ee.decompression.converters,BinaryToCharsTextConverter,30,122,7,12,6,42,7,10,0,7
Huffman-coding,pl.edu.pw.ee.compression.tree,UnitedHuffmanTreeBuilder,0,155,0,10,0,38,0,8,0,3
Huffman-coding,pl.edu.pw.ee.compression.tree,HuffmanTreeFileWriter,0,30,0,2,0,10,0,4,0,3
Huffman-coding,pl.edu.pw.ee.compression,CompressedTextFileWriter,0,53,0,4,0,17,0,6,0,4
Huffman-coding,pl.edu.pw.ee.compression,CodesBuilder,0,102,0,8,0,27,0,8,0,4
Huffman-coding,pl.edu.pw.ee.compression,FileReaderToChars,0,46,0,2,0,11,0,3,0,2
Huffman-coding,pl.edu.pw.ee.compression,FileCompressor,0,167,0,6,0,51,0,10,0,7
Huffman-coding,pl.edu.pw.ee.files_manipulation,PairOfFilesToBeDecompressed,6,15,0,0,1,6,1,3,1,3
Huffman-coding,pl.edu.pw.ee.files_manipulation,FileNameManipulator,0,179,0,10,0,45,0,14,0,9
Huffman-coding,pl.edu.pw.ee.files_manipulation,FileValidator,14,67,2,10,2,21,2,10,0,6
Huffman-coding,pl.edu.pw.ee.files_manipulation,ResultFileCreator,8,39,0,0,2,12,0,5,0,5
Huffman-coding,pl.edu.pw.ee.files_manipulation,FilesToWorkFinder,6,350,4,38,1,85,4,27,0,10
Huffman-coding,pl.edu.pw.ee.decompression,CompressedTextFileReader,8,49,1,1,2,13,2,3,1,3
Huffman-coding,pl.edu.pw.ee.decompression,FileDecompressor,8,170,0,4,2,54,0,9,0,7
Huffman-coding,pl.edu.pw.ee.decompression,DecompressedTextFileWriter,0,39,0,2,0,11,0,4,0,3
Huffman-coding,pl.edu.pw.ee.compression.converters,BinaryToBytesTextConverter,0,128,0,14,0,27,0,12,0,5
Huffman-coding,pl.edu.pw.ee.compression.converters,CharsToBinaryTextConverter,10,91,2,10,2,23,2,9,0,5
Huffman-coding,pl.edu.pw.ee,HuffmanTree,22,225,19,47,5,55,16,35,0,18
Huffman-coding,pl.edu.pw.ee,Huffman,20,33,0,2,6,8,0,5,0,4
Huffman-coding,pl.edu.pw.ee,LessonExampleGenerator,18,0,0,0,5,0,2,0,2,0
Huffman-coding,pl.edu.pw.ee.decompression.tree,HuffmanTreeFileReader,0,26,0,0,0,7,0,2,0,2
